state,latitude,longitude
California,34.005728,-118.152961
California,33.87653522,-118.2178388
California,37.9768843,-122.0356178
California,37.9369329,-122.0248286
California,33.8476157,-117.5438169
California,33.823651,-117.5165168
California,33.6580777,-117.9187307
California,33.66787924,-117.8829248
California,33.6294249,-117.9095438
California,34.00716182,-118.4126231
California,33.9854146,-118.3933069
California,33.98811136,-118.393007
California,34.0233754,-118.3943383
California,37.31726503,-122.03279
California,37.33731505,-122.0364837
California,33.8036646,-118.0124366
California,37.7014805,-122.4823687
California,37.82315929,-122.0040949
California,38.5440526,-121.7415034
California,32.98128659,-117.2497982
California,34.02087758,-117.8105588
California,33.93780766,-118.1295524
California,33.92222904,-118.1315477
California,37.70561684,-121.890836
California,37.70637316,-121.9291182
California,32.7940362,-116.934819
California,37.89920809,-122.3023089
California,33.91964298,-118.3964664
California,38.40832,-121.449308
California,38.4231808,-121.4155253
California,33.05221415,-117.2615562
California,33.13032265,-117.0665902
California,33.11301485,-117.101039
California,33.071038,-117.065973
California,40.7842726,-124.1836109
California,38.66156368,-121.2260549
California,38.26163326,-122.0584716
California,38.6694922,-121.1559255
California,38.64500628,-121.1233673
California,34.0627057,-117.4350364
California,34.1385361,-117.4413977
California,33.67950659,-117.6686819
California,37.5625402,-122.2806439
California,33.7141699,-117.9540216
California,33.68759249,-117.9545164
California,37.55439779,-121.9817117
California,37.51104648,-121.9407045
California,37.50434625,-121.9756368
California,36.78161965,-119.7900766
California,36.80942382,-119.871819
California,36.80813092,-119.7534441
California,36.8110901,-119.8079561
California,36.85213062,-119.7889995
California,33.8597251,-117.9238283
California,33.8745713,-117.8901726
California,33.78884075,-117.9632251
California,33.87347234,-118.3088413
California,37.00297749,-121.5519972
California,34.145124,-118.259326
California,34.1474571,-118.246342
California,34.14795064,-118.2552935
California,34.11636408,-117.8356347
California,38.61703935,-121.2689493
California,34.42917695,-119.8694057
California,34.25774799,-118.5020816
California,36.32747683,-119.6732996
California,33.90123579,-118.3732252
California,33.74715565,-116.9975101
California,33.86533148,-118.3934866
California,34.427957,-117.37835
California,33.72684892,-117.9896923
California,33.68070597,-118.0043469
California,32.58360256,-117.1154486
California,33.9307059,-118.3255833
California,33.94656227,-118.332183
California,33.72352161,-117.7714564
California,33.6854646,-117.8111745
California,33.64954032,-117.8390729
California,33.69833319,-117.7409454
California,33.65076779,-117.7428841
California,34.2035553,-118.1977544
California,33.91679033,-117.9588635
California,32.865734,-117.232143
California,32.77361314,-117.0269597
California,33.710716,-116.2832098
California,34.11205097,-117.7622467
California,37.89320838,-122.1181199
California,33.5680509,-117.7085587
California,33.4926226,-117.6981154
California,33.63796531,-117.680601
California,33.61882578,-117.7034592
California,33.85414598,-118.1419424
California,34.675182,-118.1473502
California,34.98650931,-118.9463183
California,37.6984632,-121.8449893
California,37.6990748,-121.7416796
California,38.1167581,-121.3025829
California,38.1007584,-121.2671192
California,33.79012666,-118.1386806
California,33.77014798,-118.1926605
California,33.759875,-118.114835
California,34.058031,-118.419668
California,34.06105861,-118.4463143
California,34.07370033,-118.3609468
California,34.0543205,-118.2632069
California,34.05350633,-118.4648759
California,34.02268149,-118.4391797
California,34.09734687,-118.3263656
California,34.07714537,-118.2647605
California,34.0764487,-118.3239423
California,34.042015,-118.25841
California,34.0620432,-118.290865
California,34.01695556,-118.282584
California,34.0481825,-118.3360122
California,34.13833243,-118.2147238
California,34.06211335,-118.3501959
California,34.04759613,-118.2566472
California,33.9788835,-118.370701
California,34.08362649,-118.3443387
California,34.09784711,-118.3569052
California,34.07313567,-118.3727653
California,37.2353535,-121.9636567
California,36.97402194,-120.0830111
California,34.036158,-118.684829
California,37.7963104,-121.1930173
California,36.66588128,-121.8097246
California,33.979174,-118.4383297
California,37.99476244,-122.1058578
California,33.6845653,-117.174962
California,37.31977991,-120.4861444
California,37.59664287,-122.3861689
California,37.41575563,-121.8975576
California,33.9766722,-117.5528577
California,34.25942,-118.4665907
California,33.592456,-117.660366
California,33.55943066,-117.6714265
California,33.55797149,-117.6689723
California,37.67089836,-120.9946328
California,37.68870918,-121.0539759
California,34.13980863,-118.0124708
California,34.08735747,-117.6891018
California,34.0189753,-118.1059054
California,36.5835108,-121.8967857
California,36.59696784,-121.8945036
California,34.03839617,-118.1445545
California,34.278874,-118.8665098
California,33.93697901,-117.2618174
